open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1708657200,51096.38,51169.99,50971.11,51100.0,2059.56349,1708660799,105131044.7657593,70470,779.97646,39816920.6978944,0
1708660800,51100.0,51321.92,51003.0,51219.59,1017.60517,1708664399,52078842.9945766,64449,474.03119,24262463.2009802,0
1708664400,51219.59,51239.43,51116.0,51236.01,760.84053,1708667999,38940045.1816462,43559,297.73701,15238455.0607938,0
1708668000,51236.0,51313.99,51211.1,51301.11,606.28765,1708671599,31081965.0125794,40130,264.53528,13562049.2522692,0
1708671600,51301.1,51301.11,50889.0,50915.96,1574.15652,1708675199,80377384.6312791,51027,509.46257,26009198.9664436,0
1708675200,50915.95,51170.0,50830.0,50958.54,1594.2256,1708678799,81269971.3220349,78988,727.72768,37108414.9933006,0
1708678800,50958.55,51066.66,50870.1,51009.38,1543.80118,1708682399,78687329.4210014,78061,778.32059,39673807.9107012,0
1708682400,51009.38,51174.56,50965.81,51171.09,840.94568,1708685999,42960745.317201,56808,434.83572,22213794.8591897,0
1708686000,51171.09,51263.22,51141.2,51218.95,783.12054,1708689599,40095385.6999711,51767,371.51104,19020690.2113074,0
1708689600,51218.94,51225.25,50926.21,50994.01,1388.692,1708693199,70841225.4673007,50100,664.98466,33917922.2884318,0
1708693200,50994.0,51095.0,50925.02,51058.2,1238.2768,1708696799,63162257.7669243,74585,621.50766,31701511.8356273,0
1708696800,51058.21,51333.47,50800.32,51126.0,3375.71574,1708700399,172352239.8998862,157283,1751.78179,89464555.7535279,0
1708700400,51126.0,51126.0,50833.02,50911.11,2300.14381,1708703999,117205626.8725425,125038,1146.64509,58425529.844339,0
1708704000,50911.1,51121.01,50629.33,51053.07,2839.21808,1708707599,144303207.9671238,109970,1572.4282,79925019.2609406,0
1708707600,51053.08,51172.91,50974.0,51139.14,1041.56099,1708711199,53211306.6070085,63889,580.92865,29678384.9048389,0
1708711200,51139.13,51193.69,51000.0,51103.76,935.76244,1708714799,47836779.8299375,43132,487.46666,24920426.2516929,0
1708714800,51103.76,51195.18,51032.88,51099.09,834.13729,1708718399,42636776.6003656,43086,357.87904,18294062.1105638,0
1708718400,51099.09,51162.04,50961.1,51079.21,916.76695,1708721999,46817923.6835991,44763,466.05795,23803370.2930675,0
1708722000,51079.2,51094.64,50986.12,50986.12,415.23666,1708725599,21193671.0330031,29753,188.13626,9602226.678526,0
1708725600,50986.12,51025.31,50750.0,50788.01,540.28101,1708729199,27495628.2257449,32868,222.28674,11312498.9543991,0
1708729200,50788.0,50916.66,50521.0,50744.15,1303.45644,1708732799,66105710.4412082,53666,593.60375,30111756.6816822,0
1708732800,50744.15,50907.14,50694.71,50889.2,895.68617,1708736399,45497347.8361698,38328,464.47794,23592956.1935322,0
1708736400,50889.19,50891.1,50590.0,50590.01,794.3898,1708739999,40297561.3702908,44303,332.04581,16842503.9064148,0
1708740000,50590.01,50800.0,50585.0,50799.99,496.12804,1708743599,25156888.0206102,30756,290.6291,14736405.730441,0
1708743600,50799.98,50857.12,50682.0,50849.97,589.22938,1708747199,29915644.4517804,30057,315.63436,16025572.4741128,0
1708747200,50849.96,51008.57,50826.47,50953.96,506.96508,1708750799,25821754.788707,30336,250.17411,12742005.8760101,0
